author,comment,likes,publishedAt,clean_comment,vader,neg,neu,pos,compound,sentiment
@VIVEK0852,Who are Nov 2025 😂😂😂😂,5,2025-11-12T13:07:04Z,who are nov,"{'neg': 0.196, 'neu': 0.412, 'pos': 0.392, 'compound': 0.891}",0.196,0.412,0.392,0.891,positive
@SabhyataKumari-n9j,Jee 2026 student 😂😂😂😂,2,2025-11-11T02:57:04Z,jee student,"{'neg': 0.201, 'neu': 0.397, 'pos': 0.402, 'compound': 0.891}",0.201,0.397,0.402,0.891,positive
@VikasDhanuk-k8e,Jay shree mahakal ❤️❤️❤️,1,2025-11-07T17:16:36Z,jay shree mahakal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@mrsketchbook1702,Anyone 2066 - 2067 batch,2,2025-11-06T16:21:38Z,anyone batch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@KrAman06,premium videos of Alakh Sir ❤,2,2025-11-06T03:29:46Z,premium videos of alakh sir,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",0.0,0.588,0.412,0.6369,positive
@vijaykumarmauryavijaykumar3195,Topper kon hai😅😅,0,2025-11-05T14:45:25Z,topper kon hai,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.0,0.643,0.357,0.6124,positive
@Bhavishya99-t6d,Main 11th class mein hun <br>Mere channel per Bohr model ki ful explanation hai and jee ka bhi content hai😊😊,0,2025-11-05T12:41:40Z,main th class mein hun brmere channel per bohr model ki ful explanation hai and jee ka bhi content hai,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.9001}",0.0,0.684,0.316,0.9001,positive
@Rajwantsingh001-S,Anyone from 2027-30 batch😉🧡,4,2025-11-01T03:25:13Z,anyone from batch,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.0,0.625,0.375,0.6369,positive
@PiyushSingh-d1i,2025,1,2025-10-31T14:36:38Z,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@sunitaphogat4321,Sir has worked for physics wallah is 9 years and this hardwork results his net worth transformation poor to billionaire 📈📈☠️,6,2025-10-29T15:51:47Z,sir has worked for physics wallah is years and this hardwork results his net worth transformation poor to billionaire,"{'neg': 0.103, 'neu': 0.833, 'pos': 0.063, 'compound': -0.296}",0.103,0.833,0.063,-0.296,negative
@HarshPandey-h9d,class 11 2025--26 batch have a good luck 😘😄,1,2025-10-28T16:55:52Z,class batch have a good luck,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.9217}",0.0,0.458,0.542,0.9217,positive
@PranavKhare-z2r,❤❤❤,0,2025-10-28T16:21:30Z,,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.9274}",0.0,0.192,0.808,0.9274,positive
@mirshakir7773,Aspirent of 2026,2,2025-10-28T08:43:26Z,aspirent of,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Kedar15_25,Kyu nh ho raho hee padhaii,2,2025-10-28T03:45:28Z,kyu nh ho raho hee padhaii,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}",0.0,0.61,0.39,0.4939,positive
@Chaharsahab-s3r,Sir H2O ko OH2 kyu nhi likh sakte,1,2025-10-26T15:55:37Z,sir ho ko oh kyu nhi likh sakte,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@AmanKumar-k2u3l,Meri hai 80,0,2025-10-26T13:30:33Z,meri hai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Pratyush..28,Purely nostalgic it was 2021 when I 1st saw this class. I can still remember those halcyon days.😊,2,2025-10-26T09:54:59Z,purely nostalgic it was when i st saw this class i can still remember those halcyon days,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.7184}",0.0,0.778,0.222,0.7184,positive
@Lokesh-e7u,Manisha,0,2025-10-26T06:19:21Z,manisha,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@rajusheikh2006Sheikh,25 october 😅,0,2025-10-25T02:47:01Z,october,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.0,0.667,0.333,0.3612,positive
@Srutiprangyapatra-c4o,Sir plz physics ka bhi kuch video youtube par ladigie,0,2025-10-23T12:40:55Z,sir plz physics ka bhi kuch video youtube par ladigie,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0,0.874,0.126,0.0772,positive
@mrtxgamer-m3z,Who get more then 85%in class 10 hit the like button,2,2025-10-21T09:48:28Z,who get more then in class hit the like button,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.0,0.8,0.2,0.3612,positive
@payelsaha6306,Kon class 9 mein hain??🙋‍♀️🙋‍♀️,1,2025-10-21T04:49:22Z,kon class mein hain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@JyotiYadav-oh2fo,I am in 10 th,0,2025-10-21T04:36:14Z,i am in th,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Sharmapriya-kx9no,Thanks sir~,0,2025-10-20T04:14:02Z,thanks sir,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.0,0.256,0.744,0.4404,positive
@Lingaiaham2025,Attendance of 2025 - 2027 batch🙋‍♂️🙋👋,0,2025-10-20T02:44:50Z,attendance of batch,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.7506}",0.0,0.686,0.314,0.7506,positive
@sensteingaming,Anyone ending of 2025 😢,2,2025-10-18T18:17:14Z,anyone ending of,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",0.383,0.617,0.0,-0.4767,negative
@AmanKumar-b2z8w,Is this enough for neet,1,2025-10-15T15:06:00Z,is this enough for neet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@funkids1112,I think only this sir  on utube from which i can understand ✨,1,2025-10-14T12:08:36Z,i think only this sir on utube from which i can understand,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.0,0.839,0.161,0.3182,positive
@manishgamer5623,Bhai ye entrance ke prospect se he ya boards  ke 😅,0,2025-10-14T04:42:04Z,bhai ye entrance ke prospect se he ya boards ke,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5719}",0.0,0.719,0.281,0.5719,positive
@Ayushnamesvedio,Hi,0,2025-10-13T16:07:15Z,hi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Ayushnamesvedio,Hi,0,2025-10-13T16:07:00Z,hi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@klrkishan2886,Kaun kaun jee/neet2026ke liye dekh rahe hai,3,2025-10-13T08:12:05Z,kaun kaun jeeneetke liye dekh rahe hai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@AmitBro-u5m,Hmm,0,2025-10-11T05:20:06Z,hmm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@RajYadav-y7o1d,Class 12th <br>Batch 2025-26🔥,1,2025-10-11T04:57:38Z,class th brbatch,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}",0.375,0.625,0.0,-0.34,negative
@Armin_edits-7,❤,0,2025-10-10T17:07:07Z,,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.0,0.192,0.808,0.6369,positive
@susmitadasgupta6338,Law definite proportion me sir ap Mg ko manganese mat boliye ...oo Magnesium...apka explanation baht achha laga ...mujhe one  Chemistry miss..,0,2025-10-10T08:24:47Z,law definite proportion me sir ap mg ko manganese mat boliye oo magnesiumapka explanation baht achha laga mujhe one chemistry miss,"{'neg': 0.07, 'neu': 0.837, 'pos': 0.093, 'compound': 0.128}",0.07,0.837,0.093,0.128,positive
@SarojMahato-e7f7r,@physics,1,2025-10-10T00:02:59Z,physics,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@SantoshSingh-s3j2e,He is the only teacher whose lecture can be heard and understand even six years really salute you ❤🫡🫡,0,2025-10-09T14:12:58Z,he is the only teacher whose lecture can be heard and understand even six years really salute you,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@PradeepPandit-q5e,Kon kon 2025 me dekh raha hai❤❤ like kare,2,2025-10-07T04:52:21Z,kon kon me dekh raha hai like kare,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.8979}",0.0,0.478,0.522,0.8979,positive
@nowvidsyt,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1997"">33:17</a>",1,2025-10-07T00:49:56Z,a href,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@DeffleXYT,jo ye comment like karega uske jee mei 9999%ile aayenge🌻🌻🌻🌻🌻,3,2025-10-06T18:42:31Z,jo ye comment like karega uske jee mei ile aayenge,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.0,0.848,0.152,0.3612,positive
@Iiachi_zz,🫰,1,2025-10-06T07:34:09Z,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@apdatr806,Why we will get s2 in cs2,0,2025-10-05T18:04:39Z,why we will get s in cs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Mpowerlibrary,Q nhi ho rhi padhai,1,2025-10-01T12:04:01Z,q nhi ho rhi padhai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@akshat-iw3le,Alakh sir ajj hm sab ko chod kr is duniya se chale gye😭😭🥀💐💐,0,2025-09-30T12:21:50Z,alakh sir ajj hm sab ko chod kr is duniya se chale gye,"{'neg': 0.228, 'neu': 0.772, 'pos': 0.0, 'compound': -0.7351}",0.228,0.772,0.0,-0.7351,negative
@accurate_yt1,Sir background noise ko haata do,0,2025-09-29T13:55:09Z,sir background noise ko haata do,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@ArkanQureshi-e5y,Attendence 1st year drop in 2025 students,0,2025-09-29T02:07:27Z,attendence st year drop in students,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}",0.259,0.741,0.0,-0.2732,negative
@baenque,Thank you sir ❤,2,2025-09-26T11:46:21Z,thank you sir,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.7717}",0.0,0.309,0.691,0.7717,positive
@neethustlevlogs,Goat aaj tak esa video nhi aya alakh sir in his prime,0,2025-09-25T14:37:10Z,goat aaj tak esa video nhi aya alakh sir in his prime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@vedprakashsaini990,Thank sir best explanation of this topic,0,2025-09-25T13:01:41Z,thank sir best explanation of this topic,"{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.7717}",0.0,0.427,0.573,0.7717,positive
@_unknown_boy_gb_,Attendance Class 11th 2025-26,0,2025-09-25T09:49:16Z,attendance class th,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@SjVlogEdits.0,Attendance class 11th 2025-2026<br>👇,1,2025-09-24T07:00:21Z,attendance class th br,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@suhaspatil6507,Sir vacancies hai kya biology subject MSc set zoology,0,2025-09-24T06:37:36Z,sir vacancies hai kya biology subject msc set zoology,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@AnilKapoor-r8p,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1100"">18:20</a>",0,2025-09-24T01:01:13Z,a href,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Dnyaneshwari-k4i,2026,0,2025-09-23T13:09:08Z,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@ghoulgamer1875,Attendance class 8 narayana student,0,2025-09-21T17:03:13Z,attendance class narayana student,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@JiteshKumarPandey-b7v3g,Watching after 7 years,3,2025-09-21T01:23:55Z,watching after years,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@aesthetic_volatte,Anyone from 2025 -2026 batch 😉,10,2025-09-18T18:36:53Z,anyone from batch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@sagarsachdeva2142,Mg ko Mn kyon bol rhe ho,0,2025-09-18T14:29:47Z,mg ko mn kyon bol rhe ho,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@ffrudragaming217,Half yearly se 3 hr pahle dekh raha hoon,0,2025-09-18T00:01:24Z,half yearly se hr pahle dekh raha hoon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Bhavya_Sharma788,2026 batch,0,2025-09-17T18:41:38Z,batch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@NARAYAN-ALUMINIUM,Kaun kaun September 2025 se hai attendance lagana chahiye,0,2025-09-17T15:35:47Z,kaun kaun september se hai attendance lagana chahiye,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@VarshaYadav-k7p,Really helps me a lot thanku sir😊,0,2025-09-17T06:16:50Z,really helps me a lot thanku sir,"{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.8357}",0.0,0.503,0.497,0.8357,positive
@azharhussainshort6370,👍🏻,1,2025-09-16T16:29:27Z,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@mind_tracing,Sir aap Instagram reels pr kyu aate ho 😂😊,3,2025-09-16T05:11:42Z,sir aap instagram reels pr kyu aate ho,"{'neg': 0.074, 'neu': 0.545, 'pos': 0.381, 'compound': 0.836}",0.074,0.545,0.381,0.836,positive
@coding_with_thinking,Who is 2025 batch,0,2025-09-15T16:34:37Z,who is batch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@Anshikabhati1014,Most viewed video of physics wallah 😎,5,2025-09-15T16:17:05Z,most viewed video of physics wallah,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}",0.0,0.75,0.25,0.4588,positive
@TusharDhanade,Attendance 2025-2027 jee batch 😅,1,2025-09-13T11:45:06Z,attendance jee batch,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.0,0.737,0.263,0.3612,positive
@Harsh_thinks_16,Arjuna 2.0 here 🤧,2,2025-09-13T11:20:16Z,arjuna here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@dailycookingmeme,Love from Nepal ❤😊,1,2025-09-13T09:57:32Z,love from nepal,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.9371}",0.0,0.294,0.706,0.9371,positive
@ManbharDevi-c9n,Kis kis ke sir 🙂 favourite hai ❤❤❤😊❤🙏🙏🙏🙏,2,2025-09-12T11:29:35Z,kis kis ke sir favourite hai,"{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.9788}",0.0,0.474,0.526,0.9788,positive
@BishwanathDutta,Thank you.,1,2025-09-12T11:11:39Z,thank you,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.0,0.286,0.714,0.3612,positive
@HP35mathsvala,❤❤,1,2025-09-12T02:31:20Z,,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.8555}",0.0,0.192,0.808,0.8555,positive
@Vaidik-Baranwal,From Arjuna JEE 2.0 2026 ❤❤😊,1,2025-09-11T17:35:37Z,from arjuna jee,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9371}",0.0,0.41,0.59,0.9371,positive
@sainayantejapotla,im 8th class itt i have this chapter for jee mains or advance exam thank you sir i will tell marks in future,1,2025-09-11T14:30:50Z,im th class itt i have this chapter for jee mains or advance exam thank you sir i will tell marks in future,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}",0.0,0.898,0.102,0.3612,positive
@Cuteboy_AI_Stories,:stuck_out_tongue_winking_eye:,2,2025-09-11T12:17:12Z,stuckouttonguewinkingeye,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@syadali-q7z,hiii,0,2025-09-11T11:15:42Z,hiii,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@TohidurSk-c7z,Anyone September 2025 🤔,6,2025-09-11T10:55:14Z,anyone september,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@HasinaJayapuria,Aap ki teaching bahar achi hain sir,2,2025-09-10T22:49:58Z,aap ki teaching bahar achi hain sir,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
@halal.striker_09,Guys <br>For Maharashtra Board This Video Is Right To Watch Na Please Anyone??,3,2025-09-10T18:39:01Z,guys brfor maharashtra board this video is right to watch na please anyone,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.3939}",0.0,0.819,0.181,0.3939,positive
@swarup_vlog_141,3sal se wait kar raha tha alakh sir padhne ke liye,2,2025-09-10T14:01:33Z,sal se wait kar raha tha alakh sir padhne ke liye,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
