author,comment,likes,publishedAt
@VIVEK0852,Who are Nov 2025 😂😂😂😂,5,2025-11-12T13:07:04Z
@SabhyataKumari-n9j,Jee 2026 student 😂😂😂😂,2,2025-11-11T02:57:04Z
@VikasDhanuk-k8e,Jay shree mahakal ❤️❤️❤️,1,2025-11-07T17:16:36Z
@mrsketchbook1702,Anyone 2066 - 2067 batch,2,2025-11-06T16:21:38Z
@KrAman06,premium videos of Alakh Sir ❤,2,2025-11-06T03:29:46Z
@vijaykumarmauryavijaykumar3195,Topper kon hai😅😅,0,2025-11-05T14:45:25Z
@Bhavishya99-t6d,Main 11th class mein hun <br>Mere channel per Bohr model ki ful explanation hai and jee ka bhi content hai😊😊,0,2025-11-05T12:41:40Z
@Rajwantsingh001-S,Anyone from 2027-30 batch😉🧡,4,2025-11-01T03:25:13Z
@PiyushSingh-d1i,2025,1,2025-10-31T14:36:38Z
@sunitaphogat4321,Sir has worked for physics wallah is 9 years and this hardwork results his net worth transformation poor to billionaire 📈📈☠️,6,2025-10-29T15:51:47Z
@HarshPandey-h9d,class 11 2025--26 batch have a good luck 😘😄,1,2025-10-28T16:55:52Z
@PranavKhare-z2r,❤❤❤,0,2025-10-28T16:21:30Z
@mirshakir7773,Aspirent of 2026,2,2025-10-28T08:43:26Z
@Kedar15_25,Kyu nh ho raho hee padhaii,2,2025-10-28T03:45:28Z
@Chaharsahab-s3r,Sir H2O ko OH2 kyu nhi likh sakte,1,2025-10-26T15:55:37Z
@AmanKumar-k2u3l,Meri hai 80,0,2025-10-26T13:30:33Z
@Pratyush..28,Purely nostalgic it was 2021 when I 1st saw this class. I can still remember those halcyon days.😊,2,2025-10-26T09:54:59Z
@Lokesh-e7u,Manisha,0,2025-10-26T06:19:21Z
@rajusheikh2006Sheikh,25 october 😅,0,2025-10-25T02:47:01Z
@Srutiprangyapatra-c4o,Sir plz physics ka bhi kuch video youtube par ladigie,0,2025-10-23T12:40:55Z
@mrtxgamer-m3z,Who get more then 85%in class 10 hit the like button,2,2025-10-21T09:48:28Z
@payelsaha6306,Kon class 9 mein hain??🙋‍♀️🙋‍♀️,1,2025-10-21T04:49:22Z
@JyotiYadav-oh2fo,I am in 10 th,0,2025-10-21T04:36:14Z
@Sharmapriya-kx9no,Thanks sir~,0,2025-10-20T04:14:02Z
@Lingaiaham2025,Attendance of 2025 - 2027 batch🙋‍♂️🙋👋,0,2025-10-20T02:44:50Z
@sensteingaming,Anyone ending of 2025 😢,2,2025-10-18T18:17:14Z
@AmanKumar-b2z8w,Is this enough for neet,1,2025-10-15T15:06:00Z
@funkids1112,I think only this sir  on utube from which i can understand ✨,1,2025-10-14T12:08:36Z
@manishgamer5623,Bhai ye entrance ke prospect se he ya boards  ke 😅,0,2025-10-14T04:42:04Z
@Ayushnamesvedio,Hi,0,2025-10-13T16:07:15Z
@Ayushnamesvedio,Hi,0,2025-10-13T16:07:00Z
@klrkishan2886,Kaun kaun jee/neet2026ke liye dekh rahe hai,3,2025-10-13T08:12:05Z
@AmitBro-u5m,Hmm,0,2025-10-11T05:20:06Z
@RajYadav-y7o1d,Class 12th <br>Batch 2025-26🔥,1,2025-10-11T04:57:38Z
@Armin_edits-7,❤,0,2025-10-10T17:07:07Z
@susmitadasgupta6338,Law definite proportion me sir ap Mg ko manganese mat boliye ...oo Magnesium...apka explanation baht achha laga ...mujhe one  Chemistry miss..,0,2025-10-10T08:24:47Z
@SarojMahato-e7f7r,@physics,1,2025-10-10T00:02:59Z
@SantoshSingh-s3j2e,He is the only teacher whose lecture can be heard and understand even six years really salute you ❤🫡🫡,0,2025-10-09T14:12:58Z
@PradeepPandit-q5e,Kon kon 2025 me dekh raha hai❤❤ like kare,2,2025-10-07T04:52:21Z
@nowvidsyt,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1997"">33:17</a>",1,2025-10-07T00:49:56Z
@DeffleXYT,jo ye comment like karega uske jee mei 9999%ile aayenge🌻🌻🌻🌻🌻,3,2025-10-06T18:42:31Z
@Iiachi_zz,🫰,1,2025-10-06T07:34:09Z
@apdatr806,Why we will get s2 in cs2,0,2025-10-05T18:04:39Z
@Mpowerlibrary,Q nhi ho rhi padhai,1,2025-10-01T12:04:01Z
@akshat-iw3le,Alakh sir ajj hm sab ko chod kr is duniya se chale gye😭😭🥀💐💐,0,2025-09-30T12:21:50Z
@accurate_yt1,Sir background noise ko haata do,0,2025-09-29T13:55:09Z
@ArkanQureshi-e5y,Attendence 1st year drop in 2025 students,0,2025-09-29T02:07:27Z
@baenque,Thank you sir ❤,2,2025-09-26T11:46:21Z
@neethustlevlogs,Goat aaj tak esa video nhi aya alakh sir in his prime,0,2025-09-25T14:37:10Z
@vedprakashsaini990,Thank sir best explanation of this topic,0,2025-09-25T13:01:41Z
@_unknown_boy_gb_,Attendance Class 11th 2025-26,0,2025-09-25T09:49:16Z
@SjVlogEdits.0,Attendance class 11th 2025-2026<br>👇,1,2025-09-24T07:00:21Z
@suhaspatil6507,Sir vacancies hai kya biology subject MSc set zoology,0,2025-09-24T06:37:36Z
@AnilKapoor-r8p,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1100"">18:20</a>",0,2025-09-24T01:01:13Z
@Dnyaneshwari-k4i,2026,0,2025-09-23T13:09:08Z
@ghoulgamer1875,Attendance class 8 narayana student,0,2025-09-21T17:03:13Z
@JiteshKumarPandey-b7v3g,Watching after 7 years,3,2025-09-21T01:23:55Z
@aesthetic_volatte,Anyone from 2025 -2026 batch 😉,10,2025-09-18T18:36:53Z
@sagarsachdeva2142,Mg ko Mn kyon bol rhe ho,0,2025-09-18T14:29:47Z
@ffrudragaming217,Half yearly se 3 hr pahle dekh raha hoon,0,2025-09-18T00:01:24Z
@Bhavya_Sharma788,2026 batch,0,2025-09-17T18:41:38Z
@NARAYAN-ALUMINIUM,Kaun kaun September 2025 se hai attendance lagana chahiye,0,2025-09-17T15:35:47Z
@VarshaYadav-k7p,Really helps me a lot thanku sir😊,0,2025-09-17T06:16:50Z
@azharhussainshort6370,👍🏻,1,2025-09-16T16:29:27Z
@mind_tracing,Sir aap Instagram reels pr kyu aate ho 😂😊,3,2025-09-16T05:11:42Z
@coding_with_thinking,Who is 2025 batch,0,2025-09-15T16:34:37Z
@Anshikabhati1014,Most viewed video of physics wallah 😎,5,2025-09-15T16:17:05Z
@TusharDhanade,Attendance 2025-2027 jee batch 😅,1,2025-09-13T11:45:06Z
@Harsh_thinks_16,Arjuna 2.0 here 🤧,2,2025-09-13T11:20:16Z
@dailycookingmeme,Love from Nepal ❤😊,1,2025-09-13T09:57:32Z
@ManbharDevi-c9n,Kis kis ke sir 🙂 favourite hai ❤❤❤😊❤🙏🙏🙏🙏,2,2025-09-12T11:29:35Z
@BishwanathDutta,Thank you.,1,2025-09-12T11:11:39Z
@HP35mathsvala,❤❤,1,2025-09-12T02:31:20Z
@Vaidik-Baranwal,From Arjuna JEE 2.0 2026 ❤❤😊,1,2025-09-11T17:35:37Z
@sainayantejapotla,im 8th class itt i have this chapter for jee mains or advance exam thank you sir i will tell marks in future,1,2025-09-11T14:30:50Z
@Cuteboy_AI_Stories,:stuck_out_tongue_winking_eye:,2,2025-09-11T12:17:12Z
@syadali-q7z,hiii,0,2025-09-11T11:15:42Z
@TohidurSk-c7z,Anyone September 2025 🤔,6,2025-09-11T10:55:14Z
@HasinaJayapuria,Aap ki teaching bahar achi hain sir,2,2025-09-10T22:49:58Z
@halal.striker_09,Guys <br>For Maharashtra Board This Video Is Right To Watch Na Please Anyone??,3,2025-09-10T18:39:01Z
@swarup_vlog_141,3sal se wait kar raha tha alakh sir padhne ke liye,2,2025-09-10T14:01:33Z
@nileshnimbalkar-j5k,guys jee arjuna 2.0 present here,3,2025-09-10T13:21:40Z
@AdarshKumar-x7p1f,Anyone is here,3,2025-09-10T13:07:49Z
@AayushiYadav-d4z,Who Are in September and also in PW😕❤🎉,3,2025-09-10T12:32:48Z
@koremax.7,2025-2026🎉,3,2025-09-10T05:28:04Z
@UjjwalKumar-h9c,Hi guys class 11 hogaya chalu 2025-2026❤❤❤❤,3,2025-09-09T15:29:07Z
@HerSoftLibrary,Yr koi mujhe ye btao cuet pg ya iit jam  ke liye me yaha start kr skti hu kya?,2,2025-09-08T20:25:57Z
@BiswajitPatra-l5o,Thanks sir,2,2025-09-08T04:59:56Z
@dilshadansari5997,Sir please notes provide kr dijiye,1,2025-09-07T17:44:22Z
@RadhaKrishna-p2q,❤😊😊😊,0,2025-09-07T16:19:09Z
@buzzybee-z5v,K pop demon hunters,0,2025-09-07T12:12:22Z
@buzzybee-z5v,K pop demon hunters,0,2025-09-07T12:12:11Z
@avis8877,ilysm sirrr tyy,0,2025-09-07T07:50:14Z
@SCIENCEEDUCATIONWALLAH,Thanks for 200 subcribers,0,2025-09-07T00:42:35Z
@Tyari_PCB_Ki,🙌🥹2027 Neet aspirants,3,2025-09-04T14:45:28Z
@AshishRaii-s5j3c,2025❤,2,2025-09-04T06:24:25Z
@Gudiyasahani-y7t,3/9/2025,3,2025-09-03T06:11:11Z
@yashodanarte1921,Khud dekh dekh k yad kar karke pada raha hai,3,2025-09-03T03:35:21Z
@arpitgaming1477,Who is watching this video in 2025,1,2025-09-02T11:10:04Z
@Sundari-e6f,2025 me kon  kon dekh rhe hai,1,2025-09-02T09:15:19Z
@sanasocialwelfaretrust,Yes sir I am 2025 student,1,2025-09-01T16:10:13Z
@RenuKuril-l3o,@RenuKuril-l3o <br>Thank you so much sir your videos are very useful 🙏🏻,0,2025-09-01T01:00:45Z
@doja-z3w,Can someone pleaseeeee..tell me if alakh sir’s chem lecturesare enough for neet 2025-26???.?sir ne kuch chora to nai hai na…bcz batch me chemistry smjh nai ari comfuse hori hun….so alakh sir se pdhne ka decide kiya hai so plz tell me..!🙏,1,2025-08-31T18:54:27Z
@RaniPandey-l6u,Attendence class 11 batch 2026-27😇😇,1,2025-08-31T15:57:43Z
@IMAGEINART,Apko best video dhne ko milenege,0,2025-08-30T19:05:28Z
@RAJIT-01,Attendance here neet 2027,4,2025-08-29T16:32:08Z
@RAJIT-01,Attendance here 2025 ❤,2,2025-08-29T16:31:58Z
@ArunSingh-i4b3n,Who is watching 1 day before exam 😂,2,2025-08-29T06:46:48Z
@dipaliphadtare4765,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=74"">1:14</a> 👍🏻",1,2025-08-28T14:58:26Z
@dipaliphadtare4765,Attendance class 11th 2025 -2026  batch ...👍🏻🤗,1,2025-08-28T14:57:20Z
@AmitKumar-k1l4o,2025 mai kon kon dekh raha hai ❤❤,1,2025-08-28T04:50:58Z
@GamerRoy-i3v,Class Xi 2026-27 attendance 🎉,3,2025-08-27T21:57:27Z
@HarjinderSingh-vp9ph,Am 12th batch in meritorious Patiala .....❤😇,1,2025-08-27T07:55:34Z
@PoojaAjaySahu-o8f,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=810"">13:30</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=813"">13:33</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=813"">13:33</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=813"">13:33</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=813"">13:33</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=813"">13:33</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=814"">13:34</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=814"">13:34</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=814"">13:34</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=814"">13:34</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=815"">13:35</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=815"">13:35</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=815"">13:35</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=816"">13:36</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=817"">13:37</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=817"">13:37</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=818"">13:38</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=819"">13:39</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=821"">13:41</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=822"">13:42</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=823"">13:43</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=824"">13:44</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=824"">13:44</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=824"">13:44</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=824"">13:44</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=825"">13:45</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=825"">13:45</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=825"">13:45</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=825"">13:45</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=825"">13:45</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=826"">13:46</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=826"">13:46</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=826"">13:46</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=826"">13:46</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=826"">13:46</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=827"">13:47</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=827"">13:47</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=827"">13:47</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=827"">13:47</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=827"">13:47</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=828"">13:48</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=828"">13:48</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=828"">13:48</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=828"">13:48</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=828"">13:48</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=829"">13:49</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=829"">13:49</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=829"">13:49</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=829"">13:49</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=830"">13:50</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=830"">13:50</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=830"">13:50</a> <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=830"">13:50</a>",0,2025-08-26T15:38:21Z
@anshikajaiswal167,"Hat&#39;s off you sir ,mind blowing explaination 🫡👏",1,2025-08-26T15:14:08Z
@sehrishtics99,2025 attendence here^^^^^^,1,2025-08-26T14:22:06Z
@Ezboys-e6t,"It doesn’t matter how old the lecture is, it’s still useful to students",1,2025-08-25T16:16:20Z
@VIP.CARS.OFFICIAL.999,Who get more than 35 percent in 10 th class 🔱,1,2025-08-25T13:12:16Z
@BinayKushwaha-f6w,5. 6 gram ka multiplay ka soluation sir arso ca;; ma solve nhi hu tha,0,2025-08-24T15:02:42Z
@BinayKushwaha-f6w,7&lt;40  oles,0,2025-08-24T15:01:09Z
@DabangAhiran-bd5dq,Hello sir ❤🎉❤🎉,0,2025-08-24T07:58:02Z
@ashiqhussainhussainshafi7732,Is it enough for neet,0,2025-08-24T02:54:23Z
@AbhilashaPandey-or9lr,Thank you sir,0,2025-08-23T16:52:40Z
@palakkkcore,❤❤❤,0,2025-08-23T06:19:59Z
@wasuuu___13,❤,0,2025-08-21T03:55:00Z
@LalitadeviYadav-j7g,Sir ye first class hai,0,2025-08-20T17:29:02Z
@NaziaBanu-x5m,Bhai 2025 ke 1st boards exam kis kis ka hai like kardo paas hojaoge ❤❤,1,2025-08-20T16:34:12Z
@aaru-y8f,Hi🎉,1,2025-08-19T16:34:17Z
@CHEM-JEEDr.Manojvala,Nice explanation,1,2025-08-19T02:02:14Z
@EYMaheshwari,Bhai Aaj khon khon dhek rha hai,1,2025-08-18T16:12:27Z
@SamanPerween-p9l,"Importance of chemistry ,nature of matter ,properties of matter and their measurement ,uncertainty in measurement, Dalton atomic theory atomic ye sara topic alakh sir k ???????",0,2025-08-18T15:37:05Z
@AksharaKhode,Aaj koi hai?😂,2,2025-08-18T12:34:46Z
@FīĽMý_HŮB_Ōffîćiã_ll,Class 11th batch 2025-2026.,0,2025-08-17T11:07:10Z
@Artkidukaan-s8n,Class 9th attenance 2025-26,0,2025-08-17T10:31:05Z
@knowmoregenz,Sir will it cover class 11th iSc?,0,2025-08-17T09:31:26Z
@funoftwobrother9132,Bhai sare vv karo,0,2025-08-17T06:51:52Z
@TAK-v6r,It&#39;s surprising to see a chemistry class being the most viewed one on physics wallah,2,2025-08-16T16:28:49Z
@junaidkhan-142,Very nice,0,2025-08-16T06:33:24Z
@frosty.999,hum raat ke shikari sara duniya humari tu kriye na humarpe trust bawli,0,2025-08-15T05:57:36Z
@BasantkumarYadav-ur6dm,Sir aap hindi me padiya,0,2025-08-14T10:22:58Z
@sabitasinku9548,Zoology Honours students like kare 😅😅,1,2025-08-14T05:15:08Z
@sabitasinku9548,Watching in 2025😅😅 love from odisha,0,2025-08-14T05:14:45Z
@SomveerYadav-f8x,❤❤❤,1,2025-08-13T22:37:54Z
@theherosandeshbhattnepal8894,ALKAH SIR IS MY FAVOURITE TEACHER he is best in the world,0,2025-08-13T14:48:48Z
@Sk_SABIR_BHAI-i4j,Who is there on dooms day 😂❤,1,2025-08-13T07:26:50Z
@DineshSharma-cl1gy,Result se pehle kon kon pdane aaya h 😂😂,2,2025-08-12T17:06:38Z
@Chillnow,👍👍👍,0,2025-08-12T15:14:37Z
@NibhaKumari-j1t,Sir online padna padao ge sir❤,0,2025-08-12T01:51:03Z
@COLEPALMERUZAIR20,Ts ads pmo,1,2025-08-11T01:32:31Z
@manupal6557,Like please 2027<br>batch wale,2,2025-08-11T01:16:23Z
@SahilYadav1844studio,Kaun kaun 2025 me dekh rahaa hai ❤❤❤❤❤,3,2025-08-10T15:18:05Z
@mahakal_34y,much better than dudi sir,0,2025-08-10T13:18:58Z
@zonexgamer_bhai,2025-2026❤❤,1,2025-08-08T17:54:39Z
@et-xereal,Who is here in 2028😂,11,2025-08-07T14:40:29Z
@sunokahanisennilay902,Back bancher Attend hear 😂😂😂😂,5,2025-08-07T14:15:26Z
@aaryan1809,Arjuna 3.0 ❤ Neet,2,2025-08-07T05:14:09Z
@donutsaresogood,Too much ads,2,2025-08-06T17:13:03Z
@RitikaKumari-n9c,Kon kon iss class ko 2025me dekh raha hai,3,2025-08-06T16:59:13Z
@Piyushgariya-ss7bd,Atendence kv student,3,2025-08-06T14:39:06Z
@horrorwithdev,Attendance for Neet UG Students,3,2025-08-06T02:49:49Z
@ArpitSinghRAJPUT-m6t,Attendance class 11th  ❤2025-2026 BATCHE HERE 👇🙋,7,2025-08-05T15:01:51Z
@cruyz_gamimg,ATTENDANCE 2026-2027 BATCH🙋🙋‍♀️,3,2025-08-05T13:09:59Z
@thepayaljoshi,Thank you so much sir god bless you 🙏🏻,2,2025-08-04T18:57:54Z
@bantykhan1911,Sir kitna lo agega class lene me,2,2025-08-04T16:09:51Z
@mayankkashyap518,Can anyone tell me which playlist is good for jee pace series or this series,1,2025-08-04T12:17:11Z
@BandnaSharma-e5g,Who is watching in 2025,1,2025-08-04T11:23:30Z
@VilasVasave-i5u,🎉🎉🎉😢😢😢❤😮😮❤😮❤😢🎉❤,1,2025-08-03T16:53:12Z
@RajnishShukla-t2w,2026-27 attendance here 👇,2,2025-08-03T09:57:48Z
@PiyushKumar-e5p9d,54 percent but I m happy,1,2025-08-03T07:02:23Z
@dev.sain.17,Any one in 2025,5,2025-08-02T16:56:06Z
@SmartLearner-i4y,anyone watching in 2025 ?,3,2025-08-02T15:52:27Z
@Kar9thik,ty sir,0,2025-08-01T04:51:42Z
@xx__junaid,Kon kon 2026 me pad raha h or kon kon PCM/PCB/PCMB le kar  pad raha h comment place me PCMB  YOU COMMENT PLACE,1,2025-07-31T15:02:51Z
@RuchiPatel-nc2jq,Sir hindhi se padhey,0,2025-07-31T13:35:12Z
@MdImamSoheb44,2 chapter,0,2025-07-29T13:07:26Z
@umakantimishra8702,Gyan mut de,1,2025-07-28T16:08:13Z
@SATYAMVERMA-2009,Neet 2027 student here❤❤,3,2025-07-27T03:43:44Z
@Sketchboi95,Fun fact this ks GOAT🎉🎉,1,2025-07-26T19:46:15Z
@MukeshSahoo-rw8pz,😅😂,0,2025-07-25T12:03:09Z
@vaktiras7159,"Who watching this video 2025 and who wanted to crack  neet,please  reply me😢😢😢😢😮😮😮🎉🎉😂😂😅😂😅😂😅😅😂",0,2025-07-25T06:32:31Z
@Shaikhismat,Who&#39;s here on 2026🎉,2,2025-07-25T05:48:29Z
@WEEKND-i2f,ATTENDANCE CLASS 11TH 2025-2026 BATCH🙋‍♂,3,2025-07-24T16:59:35Z
@NarayanPrasad-z8d,Sir bach kitna ka hai,0,2025-07-24T15:13:36Z
@videocreation-se9og,2025 2026 batch ... Attendance,1,2025-07-24T13:40:33Z
